t,e,c,v
1721923273607,h,t,triangle.JKM
1721923273785,h,t,triangle.JKM
1721923273788,h,s,segment.KM
1721923273880,h,s,segment.KM
1721923273883,h,t,triangle.KLM
1721923273963,h,t,triangle.KLM
1721923273997,h,s,segment.LM
1721923274030,h,s,segment.LM
1721923288506,n,i,
1721923289943,c,pr,s7
1721923291377,c,pr,s8
1721923360305,m,re,
1721923360319,ml,re,
1721923360436,h,s,segment.EJ
1721923360453,h,s,segment.EJ
1721923360456,h,s,segment.FJ
1721923360592,h,s,segment.FJ
1721923360594,h,t,triangle.FGJ
1721923360642,h,t,triangle.FGJ
1721923360646,h,s,segment.GJ
1721923360674,h,s,segment.GJ
1721923360678,h,t,triangle.GHJ
1721923360757,h,t,triangle.GHJ
1721923360760,h,s,segment.GH
1721923360824,h,s,segment.GH
1721923360973,h,s,segment.GH
1721923361007,h,s,segment.GH
1721923361008,h,s,segment.FG
1721923361041,h,s,segment.FG
1721923361274,h,po,G
1721923361324,h,po,G
1721923361975,h,s,segment.GH
1721923362059,h,s,segment.GH
1721923362076,h,s,segment.GH
1721923362142,h,s,segment.GH
1721923362145,h,s,segment.HJ
1721923362192,h,s,segment.HJ
1721923364294,h,s,segment.HJ
1721923364311,h,s,segment.HJ
1721923364314,h,t,triangle.GHJ
1721923364382,h,t,triangle.GHJ
1721923364383,h,s,segment.GJ
1721923364398,h,s,segment.GJ
1721923364401,h,t,triangle.FGJ
1721923365060,h,t,triangle.FGJ
1721923365063,h,s,segment.GJ
1721923365111,h,s,segment.GJ
1721923365114,h,s,segment.GH
1721923365160,h,s,segment.GH
1721923368997,h,s,segment.HJ
1721923369117,h,s,segment.HJ
1721923369899,h,po,H
1721923369917,h,po,H
1721923369919,h,s,segment.HJ
1721923369962,h,s,segment.HJ
1721923369966,h,t,triangle.GHJ
1721923369995,h,t,triangle.GHJ
1721923369997,h,s,segment.GJ
1721923370015,h,s,segment.GJ
1721923370019,h,t,triangle.FGJ
1721923370045,h,t,triangle.FGJ
1721923370047,h,s,segment.FJ
1721923370063,h,s,segment.FJ
1721923370064,h,t,triangle.EFJ
1721923370080,h,t,triangle.EFJ
1721923396782,h,po,F
1721923396867,h,po,F
1721923396870,h,s,segment.FG
1721923397362,h,s,segment.FG
1721923397364,h,po,F
1721923397425,h,po,F
1721923558338,h,s,segment.BF
1721923558355,h,s,segment.BF
1721923558359,h,t,triangle.ABF
1721923558404,h,t,triangle.ABF
1721923558406,h,s,segment.AF
1721923558454,h,s,segment.AF
1721923559329,c,pr,s10
1721923560020,m,mi,
1721923560203,ml,mi,
1721923712700,h,s,segment.BF
1721923712733,h,s,segment.BF
1721923712734,h,t,triangle.ABF
1721923712961,h,t,triangle.ABF
1721923712964,h,s,segment.AF
1721923713110,h,s,segment.AF
1721923713113,h,s,segment.AB
1721923713128,h,s,segment.AB
1721923713131,h,s,segment.AD
1721923713227,h,s,segment.AD
1721923713230,h,t,triangle.ABD
1721923713260,h,t,triangle.ABD
1721923713264,h,s,segment.AB
1721923713325,h,s,segment.AB
1721923713328,h,t,triangle.ABF
1721923713659,h,t,triangle.ABF
1721923713663,h,s,segment.BF
1721923713710,h,s,segment.BF
1721923713728,h,s,segment.BF
1721923713878,h,s,segment.BF
