t,e,c,v
1721923700278,c,pr-r,s8
1721923703406,c,pr,s1
1721923707741,c,pr,s2
1721923711701,c,pr,s3
1721923714515,h,s,segment.MW
1721923714589,h,s,segment.MW
1721923714592,h,t,triangle.MWX
1721923714714,h,t,triangle.MWX
1721923714715,h,s,segment.MX
1721923714732,h,s,segment.MX
1721923714735,h,s,segment.MZ
1721923714780,h,s,segment.MZ
1721923714782,h,t,triangle.MYZ
1721923715147,h,t,triangle.MYZ
1721923715150,h,s,segment.MZ
1721923715446,h,s,segment.MZ
1721923715464,h,t,triangle.MYZ
1721923715497,h,t,triangle.MYZ
1721923715499,h,s,segment.YZ
1721923715513,h,s,segment.YZ
1721923715546,m,mi,
1721923715880,ml,mi,
1721923716583,c,pr,s4
1721923718247,m,mi,
1721923718347,ml,mi,
1721923718364,h,s,segment.YZ
1721923718382,h,s,segment.YZ
1721923718383,h,s,segment.MZ
1721923718399,h,s,segment.MZ
1721923719013,h,t,triangle.MWX
1721923719630,h,t,triangle.MWX
1721923719634,h,s,segment.MX
1721923719665,h,s,segment.MX
1721923720365,h,s,segment.MZ
1721923720415,h,s,segment.MZ
1721923720418,h,t,triangle.MYZ
1721923720447,h,t,triangle.MYZ
1721923720449,h,s,segment.MY
1721923720500,h,s,segment.MY
1721923721249,m,mi,
1721923721332,ml,mi,
1721923721399,h,s,segment.YZ
1721923721450,h,s,segment.YZ
1721923721452,h,t,triangle.MYZ
1721923721749,h,t,triangle.MYZ
1721923721752,h,s,segment.YZ
1721923721782,h,s,segment.YZ
1721923722149,h,s,segment.MW
1721923722199,h,s,segment.MW
1721923722202,h,t,triangle.MWX
1721923722383,h,t,triangle.MWX
1721923722385,h,s,segment.MW
1721923722450,h,s,segment.MW
1721923722453,h,s,segment.MY
1721923722484,h,s,segment.MY
1721923722487,h,t,triangle.MYZ
1721923722532,h,t,triangle.MYZ
1721923722533,h,s,segment.YZ
1721923722551,h,s,segment.YZ
1721923722583,m,mi,
1721923722599,ml,mi,
1721923723274,c,pr,s5
1721923724380,m,mi,
1721923724414,ml,mi,
1721923724464,h,s,segment.YZ
1721923724514,h,s,segment.YZ
1721923724516,h,t,triangle.MYZ
1721923724597,h,t,triangle.MYZ
1721923724647,h,s,segment.MZ
1721923724813,h,s,segment.MZ
1721923724817,h,t,triangle.MYZ
1721923724897,h,t,triangle.MYZ
1721923724898,h,s,segment.YZ
1721923724930,h,s,segment.YZ
1721923724964,m,mi,
1721923724981,ml,mi,
1721923725480,p,l,WMX
1721923725930,h,po,Y
1721923725948,h,po,Y
1721923725951,h,s,segment.MY
1721923726146,h,s,segment.MY
1721923726214,h,t,triangle.MYZ
1721923726346,h,t,triangle.MYZ
1721923726349,h,s,segment.MZ
1721923726398,h,s,segment.MZ
1721923726431,h,po,Z
1721923726448,h,po,Z
1721923726584,m,re,
1721923726748,ml,re,
1721923726751,m,mi,
1721923726964,ml,mi,
1721923726997,h,s,segment.MY
1721923727015,h,s,segment.MY
1721923727018,h,po,Y
1721923727031,h,po,Y
1721923727163,h,s,segment.MY
1721923727196,h,s,segment.MY
1721923727215,h,s,segment.MY
1721923727416,h,s,segment.MY
1721923727419,h,s,segment.MW
